22:05:14.152 [INFO] cli_log::init: Starting polymarket v0.1.0 with log level DEBUG
22:05:14.153 [INFO] polymarket: Starting Polymarket Orderbook Viewer...
22:05:14.230 [DEBUG] reqwest::connect: starting new connection: https://clob.polymarket.com/
22:05:14.622 [INFO] polymarket::app::core: Loading next batch of markets... (total so far: 500)
22:05:14.904 [INFO] polymarket::app::core: Loading next batch of markets... (total so far: 1000)
22:05:15.272 [INFO] polymarket::app::core: Loading next batch of markets... (total so far: 1500)
22:05:15.388 [INFO] polymarket::app::core: Reached end of markets pagination
22:05:15.389 [DEBUG] reqwest::connect: starting new connection: https://gamma-api.polymarket.com/
22:05:17.548 [INFO] polymarket::app::core: Loaded 500 gamma events starting from index 0
22:05:20.110 [INFO] polymarket::app::core: Loaded 500 gamma events starting from index 500
22:05:20.600 [INFO] polymarket::app::core: Loaded 186 gamma events starting from index 1000
22:05:20.600 [INFO] polymarket::app::core: Reached end of gamma events pagination or max limit reached
22:05:20.610 [INFO] polymarket::app::core: Successfully loaded 1506 markets total
22:05:21.180 [DEBUG] polymarket::app::navigation: Using regular market logic for token ID retrieval
22:05:21.180 [INFO] polymarket: Loading orderbook for token ID: 51763106650496752541729852536693698972250609969744350680933901034551176542113
22:05:21.232 [INFO] polymarket::app::core: Loaded price history for token ID: 51763106650496752541729852536693698972250609969744350680933901034551176542113
22:05:21.309 [INFO] polymarket::app::websocket: Starting WebSocket connection for token: 51763106650496752541729852536693698972250609969744350680933901034551176542113
22:05:21.310 [INFO] polymarket::app::websocket: WebSocket started for token: 51763106650496752541729852536693698972250609969744350680933901034551176542113
22:05:21.313 [INFO] polymarket::websocket::clob: Connecting to WebSocket at: wss://ws-subscriptions-clob.polymarket.com/ws/market
22:05:21.338 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:24.362 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:24.463 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:24.564 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:24.665 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:24.766 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:24.867 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:24.967 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:25.068 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:25.168 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:25.269 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:25.370 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:25.471 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:25.572 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:25.684 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:25.785 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:25.885 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:25.987 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:26.087 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:26.188 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:26.288 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:26.389 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:26.490 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:26.591 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:26.699 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:26.800 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:26.900 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:27.001 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:27.102 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:27.203 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:27.304 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:27.405 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:27.506 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:27.607 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:27.712 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:27.812 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:27.913 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:28.013 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:28.114 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:28.215 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:28.317 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:28.418 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:28.520 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:28.620 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:28.731 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:28.831 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:28.932 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:29.033 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:29.133 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:29.233 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:29.334 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:29.435 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:29.535 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:29.636 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:29.746 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:29.846 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:29.947 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:30.048 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:30.149 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:30.250 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:30.350 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:30.450 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:30.551 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:30.652 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:30.760 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:30.861 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:30.962 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:31.063 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:31.164 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:31.264 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:31.365 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:31.466 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:31.567 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:31.667 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:31.775 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:31.876 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:31.976 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:32.077 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:32.178 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:32.279 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:32.379 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:32.480 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:32.581 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:32.682 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:32.792 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:32.893 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:32.993 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:33.094 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:33.194 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:33.295 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:33.395 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:33.496 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:33.596 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:33.697 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:33.808 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:33.909 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:34.010 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:34.111 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:34.213 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:34.314 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:34.415 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:34.516 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:34.617 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:34.718 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:34.820 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:34.920 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:35.021 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:35.121 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:35.222 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:35.323 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:35.424 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:35.525 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:35.626 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:35.726 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:35.835 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:35.936 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:36.037 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:36.137 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:36.237 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:36.339 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:36.440 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:36.540 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:36.641 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:36.742 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:36.847 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:36.949 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:37.049 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:37.149 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:37.250 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:37.351 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:37.452 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:37.553 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:37.653 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:37.753 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:37.859 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:37.961 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:38.062 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:38.163 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:38.264 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:38.364 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:38.465 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:38.566 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:38.668 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:38.769 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:38.871 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:38.971 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:39.072 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:39.172 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:39.273 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:39.374 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:39.475 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:39.576 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:39.677 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:39.777 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:39.883 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:39.984 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:40.084 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:40.185 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:40.287 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:40.388 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:40.488 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:40.590 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:40.690 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:40.792 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:40.895 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:40.996 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:41.097 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:41.198 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:41.299 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:41.399 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:41.500 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:41.600 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:41.701 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:41.801 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:41.911 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:42.012 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:42.112 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:42.213 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:42.314 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:42.415 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:42.516 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:42.616 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:42.717 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:42.818 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:42.923 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:43.024 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:43.125 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:43.225 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:43.326 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:43.427 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:43.528 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:43.628 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:43.729 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:43.830 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:43.942 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:44.043 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:44.144 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:44.244 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:44.345 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:44.446 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:44.546 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:44.647 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:44.749 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:44.849 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:44.957 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:45.058 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:45.159 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:45.259 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:45.360 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:45.461 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:45.561 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:45.662 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:45.762 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:45.863 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:45.971 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:46.072 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
22:05:46.173 [INFO] polymarket::app::price_history: No relevant crypto symbols found, stopping all crypto WebSockets
